Position,Team,Played,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Differential,Points,League
4,AC Milan,38,20,10,8,64,43,21,70,Serie A
17,Almería,38,11,8,19,49,65,-16,41,La Liga
2,Arsenal,38,26,6,6,88,43,45,84,Premier League
7,Aston Villa,38,18,7,13,51,46,5,61,Premier League
5,Atalanta,38,19,7,12,66,48,18,64,Serie A
8,Athletic Bilbao,38,14,9,15,47,43,4,51,La Liga
3,Atlético Madrid,38,23,8,7,70,33,37,77,La Liga
1,Barcelona,38,28,4,6,70,20,50,88,La Liga
9,Bologna,38,14,12,12,53,49,4,54,Serie A
15,Bournemouth,38,11,6,21,37,71,-34,39,Premier League
9,Brentford,38,15,14,9,58,46,12,59,Premier League
6,Brighton & Hove Albion,38,18,8,12,72,53,19,62,Premier League
14,Cádiz,38,10,12,16,30,53,-23,42,La Liga
13,Celta Vigo,38,11,10,17,43,53,-10,43,La Liga
12,Chelsea,38,11,11,16,38,47,-9,44,Premier League
19,Cremonese,38,5,12,21,36,69,-33,27,Serie A
11,Crystal Palace,38,11,12,15,40,49,-9,45,Premier League
20,Elche,38,5,10,23,30,67,-37,25,La Liga
14,Empoli,38,10,13,15,37,49,-12,43,Serie A
19,Espanyol,38,8,13,17,52,69,-17,37,La Liga
17,Everton,38,8,12,18,34,57,-23,36,Premier League
8,Fiorentina,38,15,11,12,53,43,10,56,Serie A
10,Fulham,38,15,7,16,55,53,2,52,Premier League
15,Getafe,38,10,12,16,34,45,-11,42,La Liga
10,Girona,38,13,10,15,58,55,3,49,La Liga
17,Hellas Verona,38,7,10,21,31,59,-28,31,Serie A
3,Inter Milan,38,23,3,12,71,42,29,72,Serie A
7,Juventus,38,22,6,10,56,33,23,62,Serie A
2,Lazio,38,22,8,8,60,30,30,74,Serie A
16,Lecce,38,8,12,18,33,46,-13,36,Serie A
19,Leeds United,38,7,10,21,48,78,-30,31,Premier League
18,Leicester City,38,9,7,22,51,68,-17,34,Premier League
5,Liverpool,38,19,10,9,75,47,28,67,Premier League
9,Mallorca,38,14,8,16,37,43,-6,50,La Liga
1,Manchester City,38,28,5,5,94,33,61,89,Premier League
3,Manchester United,38,23,6,9,58,43,15,75,Premier League
11,Monza,38,14,10,14,48,52,-4,52,Serie A
1,Napoli,38,28,6,4,77,28,49,90,Serie A
4,Newcastle United,38,19,14,5,68,33,35,71,Premier League
16,Nottingham Forest,38,9,11,18,38,68,-30,38,Premier League
7,Osasuna,38,15,8,15,37,42,-5,53,La Liga
11,Rayo Vallecano,38,13,10,15,45,53,-8,49,La Liga
6,Real Betis,38,17,9,12,46,41,5,60,La Liga
2,Real Madrid,38,24,6,8,75,36,39,78,La Liga
4,Real Sociedad,38,21,8,9,51,35,16,71,La Liga
6,Roma,38,18,9,11,50,38,12,63,Serie A
15,Salernitana,38,9,15,14,48,62,-14,42,Serie A
20,Sampdoria,38,3,10,25,24,71,-47,19,Serie A
13,Sassuolo,38,12,9,17,47,61,-14,45,Serie A
12,Sevilla,38,13,10,15,47,54,-7,49,La Liga
20,Southampton,38,6,7,25,36,73,-37,25,Premier League
18,Spezia,38,6,13,19,31,62,-31,31,Serie A
10,Torino,38,14,11,13,42,41,1,53,Serie A
8,Tottenham Hotspur,38,18,6,14,70,63,7,60,Premier League
12,Udinese,38,11,13,14,47,48,-1,46,Serie A
16,Valencia,38,11,9,18,42,45,-3,42,La Liga
18,Valladolid,38,11,7,20,33,63,-30,40,La Liga
5,Villarreal,38,19,7,12,59,40,19,64,La Liga
14,West Ham United,38,11,7,20,42,55,-13,40,Premier League
13,Wolverhampton Wanderers,38,11,8,19,31,58,-27,41,Premier League
